Skill,Count
[],10052
['tax'],569
['web'],326
['c++'],238
['sql'],225
"['c++', 'data structures']",158
['budgeting'],151
['databases'],147
['testing'],92
"['java', 'javascript', 'php', 'html', 'css', 'web', 'sql']",85
['risk management'],83
"['web', 'sql']",78
"['java', 'javascript', 'html', 'css', 'web']",73
"['sql', 'oracle']",71
"['c++', 'sql']",70
['java'],61
"['java', 'javascript', 'html', 'css', 'web', 'sql', 'databases', 'oracle']",61
"['sql', 'databases', 'oracle']",54
"['java', 'javascript', 'php', 'html', 'css', 'sql']",50
"['java', 'javascript', 'html', 'css', 'web', 'sql']",47
"['sql', 'databases']",46
['git'],42
"['java', 'c++']",38
['financial reporting'],38
"['web', 'sql', 'testing']",35
"['web', 'testing']",35
"['html', 'css', 'web']",32
['python'],31
"['java', 'javascript', 'html', 'css', 'sql']",31
"['financial reporting', 'tax']",31
"['c++', 'testing']",30
"['java', 'javascript', 'php', 'html', 'css', 'web']",30
['html'],29
"['java', 'javascript', 'html', 'css']",28
"['html', 'web']",27
['agile'],26
"['java', 'sql']",26
"['php', 'sql']",25
"['c++', 'data structures', 'databases']",25
"['java', 'javascript', 'php', 'html', 'web', 'sql']",25
"['java', 'web', 'sql', 'databases', 'oracle']",25
"['java', 'web']",25
['oracle'],24
"['java', 'sql', 'databases', 'oracle']",23
['sap'],22
"['web', 'git']",21
"['web', 'sql', 'databases']",20
['bookkeeping'],19
"['sql', 'testing']",17
"['java', 'c++', 'sql']",17
"['python', 'testing']",17
"['gaap', 'tax']",16
"['java', 'javascript', 'html', 'sql']",16
"['tax', 'risk management']",16
"['java', 'javascript', 'web', 'sql']",15
"['web', 'financial reporting', 'budgeting']",15
"['java', 'c++', 'php', 'html', 'web', 'sql']",15
"['java', 'javascript', 'html', 'web', 'sql']",15
"['bookkeeping', 'sap']",15
"['java', 'web', 'sql']",15
"['java', 'javascript', 'php', 'html', 'css', 'web', 'sql', 'git']",14
"['python', 'c++']",14
"['java', 'javascript', 'php', 'html', 'css', 'web', 'sql', 'databases']",14
"['java', 'php', 'sql', 'databases', 'oracle']",14
"['python', 'c++', 'testing', 'agile']",14
"['java', 'javascript', 'html', 'css', 'sql', 'databases']",13
"['web', 'sql', 'oracle']",13
"['c++', 'web', 'sql']",12
"['java', 'javascript', 'html', 'sql', 'databases', 'testing']",12
"['sql', 'databases', 'testing']",12
"['java', 'c++', 'web', 'sql', 'oracle']",12
"['python', 'web', 'sql', 'testing', 'agile']",12
"['php', 'web', 'sql']",12
